iter	Passed	Remaining
0	185	18318
1	378	18558
2	584	18904
3	823	19769
4	1052	19993
5	1243	19488
6	1451	19289
7	1642	18892
8	1881	19027
9	2055	18498
10	2220	17964
11	2407	17656
12	2595	17368
13	2820	17326
14	3038	17220
15	3241	17017
16	3447	16832
17	3638	16574
18	3820	16285
19	3998	15992
20	4162	15660
21	4365	15477
22	4531	15170
23	4707	14908
24	4896	14690
25	5103	14524
26	5345	14452
27	5556	14289
28	5783	14158
29	5985	13967
30	6167	13726
31	6395	13590
32	6606	13413
33	6789	13180
34	6980	12962
35	7176	12758
36	7357	12527
37	7530	12286
38	7699	12043
39	7937	11906
40	8141	11716
41	8330	11503
42	8539	11319
43	8732	11114
44	8922	10905
45	9102	10684
46	9286	10472
47	9531	10326
48	9716	10113
49	9889	9889
50	10104	9708
51	10237	9450
52	10443	9261
53	10613	9041
54	10795	8832
55	10984	8630
56	11242	8481
57	11414	8265
58	11634	8084
59	11848	7899
60	12062	7711
61	12253	7510
62	12452	7313
63	12655	7118
64	12945	6970
65	13156	6777
66	13322	6561
67	13573	6387
68	13908	6248
69	14158	6068
70	14422	5890
71	14741	5732
72	15024	5557
73	15259	5361
74	15469	5156
75	15706	4959
76	15898	4748
77	16077	4534
78	16280	4327
79	16466	4116
80	16669	3910
81	16874	3704
82	17055	3493
83	17252	3286
84	17471	3083
85	17665	2875
86	17880	2671
87	18088	2466
88	18295	2261
89	18492	2054
90	18689	1848
91	18869	1640
92	19055	1434
93	19261	1229
94	19427	1022
95	19601	816
96	19795	612
97	19980	407
98	20188	203
99	20390	0
