iter	MultiClass
0	1.549431271
1	1.495733604
2	1.436305516
3	1.391114739
4	1.357953556
5	1.310232786
6	1.267554752
7	1.229911022
8	1.204167997
9	1.183301811
10	1.162918338
11	1.148037882
12	1.138057685
13	1.126888511
14	1.102402026
15	1.084911749
16	1.072241921
17	1.06196026
18	1.050816693
19	1.041772485
20	1.034555687
21	1.028193325
22	1.023263293
23	1.017900914
24	1.011063948
25	1.006659496
26	1.000745001
27	0.9964681663
28	0.9923919789
29	0.9889946283
30	0.9861350315
31	0.9773357922
32	0.9727144677
33	0.9666440075
34	0.9647044694
35	0.9610836635
36	0.9582511485
37	0.9523925025
38	0.9491204611
39	0.9481376622
40	0.9461203219
41	0.9438420945
42	0.9413075106
43	0.9396742715
44	0.9362363113
45	0.9342565539
46	0.9327758017
47	0.9316102197
48	0.9302046742
49	0.9285964366
50	0.9251506864
51	0.9216958007
52	0.9180336742
53	0.9148670678
54	0.9125158373
55	0.9116439465
56	0.9102227314
57	0.9092405271
58	0.9072057584
59	0.9061371784
60	0.9039568069
61	0.9018200577
62	0.8994354114
63	0.8991154453
64	0.8982000418
65	0.8970230402
66	0.8945383327
67	0.8937497447
68	0.8936787422
69	0.8934389572
70	0.8918627353
71	0.8907332955
72	0.8888828533
73	0.8878565377
74	0.8874711566
75	0.8872089996
76	0.8853563833
77	0.8844544818
78	0.881945784
79	0.8817315596
80	0.8790039925
81	0.8782509701
82	0.8781112888
83	0.8776674668
84	0.8775657586
85	0.873664661
86	0.8719897362
87	0.8700875958
88	0.8694877568
89	0.867223335
90	0.8669657107
91	0.866616906
92	0.8634634166
93	0.8609736352
94	0.8583034396
95	0.8557633808
96	0.8556990215
97	0.8553277888
98	0.8536889203
99	0.8535649732
