iter	MultiClass
0	1.516726312
1	1.443015443
2	1.387441999
3	1.342930967
4	1.300883513
5	1.266570559
6	1.238269381
7	1.213130077
8	1.190166642
9	1.172993686
10	1.155348481
11	1.142028704
12	1.128094224
13	1.117329485
14	1.106837465
15	1.099662315
16	1.092938304
17	1.072410944
18	1.064749264
19	1.05765863
20	1.052073532
21	1.046955335
22	1.042679181
23	1.030588857
24	1.024465361
25	1.016787093
26	1.008078802
27	1.002911708
28	0.9989795665
29	0.9966204597
30	0.9909915379
31	0.9869963141
32	0.9838106954
33	0.9812419924
34	0.9776739788
35	0.9741827527
36	0.968636256
37	0.9666730829
38	0.9643025698
39	0.9602372739
40	0.9543883447
41	0.9510380553
42	0.9458897689
43	0.944188246
44	0.9414162909
45	0.9401212514
46	0.9352136618
47	0.934406725
48	0.9325534035
49	0.9306289375
50	0.9293623924
51	0.9262659333
52	0.9234395565
53	0.920555667
54	0.9175920153
55	0.9151341775
56	0.914665726
57	0.9135982226
58	0.912114009
59	0.9103613636
60	0.9092046897
61	0.9071822786
62	0.9056173608
63	0.9035826723
64	0.9019977339
65	0.9000194555
66	0.8970196806
67	0.8964145602
68	0.8950302535
69	0.8943947701
70	0.8921980592
71	0.8909642226
72	0.8893452102
73	0.8868244632
74	0.8842056851
75	0.8823726208
76	0.8810134135
77	0.8804984217
78	0.8797059387
79	0.8775474002
80	0.8771387079
81	0.8753659542
82	0.8742003123
83	0.8733702375
84	0.8727631488
85	0.8717443528
86	0.8701469485
87	0.8691028484
88	0.8682924598
89	0.8673464571
90	0.8669414585
91	0.8653403088
92	0.8642975199
93	0.8636227
94	0.8633772146
95	0.8631216097
96	0.8622067658
97	0.8615983566
98	0.8612768537
99	0.8603920032
100	0.8601558729
101	0.8598250733
102	0.8577635799
103	0.8575827146
104	0.8569476742
105	0.854615716
106	0.8532740187
107	0.8523350472
108	0.8517140895
109	0.8510173742
110	0.850193968
111	0.8500886793
112	0.8495825102
113	0.8481618279
114	0.8473837472
115	0.8468099419
116	0.8455015008
117	0.8442624983
118	0.8434239386
119	0.8410061926
120	0.8384288957
121	0.8374861533
122	0.8371478613
123	0.8354733816
124	0.8348018969
125	0.8336503788
126	0.832971196
127	0.832547816
128	0.8320424764
129	0.8311077321
130	0.8307353723
131	0.8292757269
132	0.8278283893
133	0.8272831813
134	0.8262270013
135	0.8248228796
136	0.8239115428
137	0.8235398763
138	0.8214430444
139	0.8208285219
140	0.819321557
141	0.8180311338
142	0.8160842425
143	0.8156094687
144	0.8148841312
145	0.8141251638
146	0.8135269113
147	0.8126223992
148	0.8125185703
149	0.8109675581
150	0.810157506
151	0.8094367016
152	0.8091411145
153	0.8085197048
154	0.8073260102
155	0.8069318458
156	0.8054768322
157	0.8044563999
158	0.8038492225
159	0.8035507585
160	0.8030809606
161	0.8026151744
162	0.8024813285
163	0.8022391719
164	0.8019445143
165	0.8008522519
166	0.7989065486
167	0.7984148882
168	0.7981227107
169	0.7975273441
170	0.7972730356
171	0.7970578131
172	0.7966598175
173	0.7965785802
174	0.7962098621
175	0.7955414729
176	0.7952800023
177	0.7950062951
178	0.7947615016
179	0.7938237978
180	0.7932670987
181	0.7930750542
182	0.7927696262
183	0.7926537781
184	0.7918754647
185	0.7917027753
186	0.7905118825
187	0.789722517
188	0.7891787163
189	0.7886373782
190	0.7884217597
191	0.7883624562
192	0.7882308339
193	0.7878710149
194	0.7864159222
195	0.7858617131
196	0.7854304033
197	0.7853297065
198	0.7849178943
199	0.78444647
200	0.7841151909
201	0.7840624858
202	0.7836261685
203	0.783169978
204	0.7827609468
205	0.7821645413
206	0.7820357212
207	0.7817161066
208	0.7812317282
209	0.7807296449
210	0.7806447989
211	0.7801796732
212	0.7794737046
213	0.7791914506
214	0.7789870299
215	0.7783655658
216	0.7782951101
217	0.7781819203
218	0.7776676635
219	0.7775310279
220	0.7773278177
221	0.7772131071
222	0.7770418069
223	0.7768687526
224	0.7763451119
225	0.7757033612
226	0.7756428281
227	0.7752616709
228	0.7751032426
229	0.774929926
230	0.7741600209
231	0.7737686021
232	0.7735211895
233	0.7730983473
234	0.7721133297
235	0.771622831
236	0.7708479964
237	0.7701748297
238	0.7698476132
239	0.7697193695
240	0.7695692408
241	0.7692709365
242	0.7690305516
243	0.7688904776
244	0.7683308581
245	0.7677031086
246	0.7676489934
247	0.7672966552
248	0.7670895806
249	0.7663125828
250	0.7662331698
251	0.7660567981
252	0.7655169455
253	0.7649366623
254	0.7648699298
255	0.7644821937
256	0.7642599579
257	0.7642056076
258	0.7639526076
259	0.7633129598
260	0.7631807197
261	0.7628060875
262	0.7626972334
263	0.7626442063
264	0.7625203693
265	0.7621077895
266	0.7617141741
267	0.7615786228
268	0.7612914586
269	0.7609421254
270	0.7606631218
271	0.7601164103
272	0.7599708036
273	0.7598519748
274	0.7593607908
275	0.7591394327
276	0.7587883125
277	0.7587104951
278	0.7586485156
279	0.7585323882
280	0.7585107784
281	0.758356657
282	0.7577389759
283	0.7574601645
284	0.7568331108
285	0.7567744348
286	0.7565940193
287	0.7562569844
288	0.7561041919
289	0.7552522399
290	0.7551942744
291	0.7548647631
292	0.7542569402
293	0.7540981469
294	0.754017022
295	0.7539053631
296	0.7533968009
297	0.753021454
298	0.7528076366
299	0.7525898379
300	0.7522536948
301	0.7516159166
302	0.7513740647
303	0.7511034398
304	0.7503055874
305	0.7501625624
306	0.7498481189
307	0.7491468753
308	0.7490958848
309	0.7489137694
310	0.7486745134
311	0.7486412363
312	0.7484860845
313	0.7483024191
314	0.7478952201
315	0.7477607357
316	0.7476887578
317	0.7473714013
318	0.7472194735
319	0.7470773542
320	0.7467387659
321	0.7461567486
322	0.7455307902
323	0.7453490325
324	0.7453166087
325	0.7451795058
326	0.7441728179
327	0.7439996969
328	0.7435268746
329	0.7434485674
330	0.7427961222
331	0.7426673436
332	0.7421602532
333	0.7420479447
334	0.7415413147
335	0.7414353168
336	0.7412484466
337	0.7411671136
338	0.7405272363
339	0.7396858709
340	0.7395348056
